brand,model,year,title,predicted_path,starting_price,source,verified_on
BMW,iX3,2027,"2027 BMW iX3 Specs, Price & Trims",/2026/08/2027-bmw-ix3-specs-price-and-trims.html,"$61,500",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,iX,2026,"2026 BMW iX Specs, Price & Trims",/2026/08/2026-bmw-ix-specs-price-and-trims.html,"$75,150",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,2 Series,2027,"2027 BMW 2 Series Specs, Price & Trims",/2026/08/2027-bmw-2-series-specs-price-and-trims.html,"$40,000",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,3 Series,2027,"2027 BMW 3 Series Specs, Price & Trims",/2026/08/2027-bmw-3-series-specs-price-and-trims.html,"$48,000",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,4 Series,2027,"2027 BMW 4 Series Specs, Price & Trims",/2026/08/2027-bmw-4-series-specs-price-and-trims.html,"$51,200",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,5 Series,2027,"2027 BMW 5 Series Specs, Price & Trims",/2026/08/2027-bmw-5-series-specs-price-and-trims.html,"$60,500",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,7 Series,2027,"2027 BMW 7 Series Specs, Price & Trims",/2026/08/2027-bmw-7-series-specs-price-and-trims.html,"$99,800",https://www.bmwusa.com/vehicles/7-series/sedan/bmw-7-series-sedan.html,2026-09-14
BMW,i4,2027,"2027 BMW i4 Specs, Price & Trims",/2026/08/2027-bmw-i4-specs-price-and-trims.html,"$57,900",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,i5,2027,"2027 BMW i5 Specs, Price & Trims",/2026/08/2027-bmw-i5-specs-price-and-trims.html,"$67,100",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,i7,2027,"2027 BMW i7 Specs, Price & Trims",/2026/08/2027-bmw-i7-specs-price-and-trims.html,"$106,200",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,M2,2027,"2027 BMW M2 Specs, Price & Trims",/2026/08/2027-bmw-m2-specs-price-and-trims.html,"$69,500",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,M3,2027,"2027 BMW M3 Specs, Price & Trims",/2026/08/2027-bmw-m3-specs-price-and-trims.html,"$79,300",https://www.bmwusa.com/vehicles/m-series/m3-series/bmw-m3-sedan.html,2026-09-14
BMW,M4,2027,"2027 BMW M4 Specs, Price & Trims",/2026/08/2027-bmw-m4-specs-price-and-trims.html,"$82,200",https://www.bmwusa.com/all-bmws.html,2026-09-14
BMW,M5,2027,"2027 BMW M5 Specs, Price & Trims",/2026/08/2027-bmw-m5-specs-price-and-trims.html,"$123,300",https://www.bmwusa.com/all-bmws.html,2026-09-14
Mercedes-Benz,CLA,2027,"2027 Mercedes-Benz CLA Specs, Price & Trims",/2026/08/2027-mercedes-benz-cla-specs-price-and-trims.html,"$43,900",https://www.mbusa.com/en/vehicles/class/cla/sedan,2026-09-14
Mercedes-Benz,C-Class,2027,"2027 Mercedes-Benz C-Class Specs, Price & Trims",/2026/08/2027-mercedes-benz-c-class-specs-price-and-trims.html,"$49,650",https://www.mbusa.com/en/vehicles/class/c-class/sedan,2026-09-14
Mercedes-Benz,E-Class,2027,"2027 Mercedes-Benz E-Class Specs, Price & Trims",/2026/08/2027-mercedes-benz-e-class-specs-price-and-trims.html,"$65,200",https://www.mbusa.com/en/vehicles/class/e-class/sedan,2026-09-14
Mercedes-Benz,S-Class,2027,"2027 Mercedes-Benz S-Class Specs, Price & Trims",/2026/08/2027-mercedes-benz-s-class-specs-price-and-trims.html,"$112,550",https://www.mbusa.com/en/vehicles/class/s-class/sedan,2026-09-14
Mercedes-Benz,E-Class Wagon,2027,"2027 Mercedes-Benz E-Class Wagon Specs, Price & Trims",/2026/08/2027-mercedes-benz-e-class-wagon-specs-price-and-trims.html,"$80,000",https://www.mbusa.com/en/vehicles/class/e-class/wagon,2026-09-14
Mercedes-Benz,CLE Coupe,2027,"2027 Mercedes-Benz CLE Coupe Specs, Price & Trims",/2026/08/2027-mercedes-benz-cle-coupe-specs-price-and-trims.html,"$60,900",https://www.mbusa.com/en/vehicles/class/cle/coupe,2026-09-14
Mercedes-Benz,CLE Cabriolet,2027,"2027 Mercedes-Benz CLE Cabriolet Specs, Price & Trims",/2026/08/2027-mercedes-benz-cle-cabriolet-specs-price-and-trims.html,"$69,400",https://www.mbusa.com/en/vehicles/class/cle/cabriolet,2026-09-14
Mercedes-Benz,AMG GT Coupe,2027,"2027 Mercedes-Benz AMG GT Coupe Specs, Price & Trims",/2026/08/2027-mercedes-benz-amg-gt-coupe-specs-price-and-trims.html,"$108,850",https://www.mbusa.com/en/vehicles/class/amg-gt/coupe,2026-09-14
Mercedes-Benz,SL Roadster,2027,"2027 Mercedes-Benz SL Roadster Specs, Price & Trims",/2026/08/2027-mercedes-benz-sl-roadster-specs-price-and-trims.html,"$114,900",https://www.mbusa.com/en/vehicles/class/sl/roadster,2026-09-14
